Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12
"('scissors', 0.15272288322141683)","('quality', 0.2377555943798821)","('broke', 0.1440433998344297)","('plastic', 0.2365318086728899)","('sharp', 0.44047248134698197)","('impressed', 0.2951103563291149)","('pair', 0.1944585892558598)","('cut', 0.5565076188666414)","('rusts', 0.2601976473161312)","('small', 0.7916352515245572)","('disappointing', 0.6712055302543027)","('dull', 0.6253147305131166)","('durable', 0.53512432292619)"
"('blades', 0.06154957702313663)","('product', 0.12380534417033075)","('use', 0.12836803959775783)","('handles', 0.1707544932662936)","('enough', 0.15185960515472963)","('ok', 0.2849886905488406)","('two', 0.17833865053107165)","('well', 0.37281458082585617)","('rust', 0.23845459627455493)","('size', 0.1820603271861259)","('disappointed', 0.5493061443340548)","('fast', 0.25440547959406457)","('ease', 0.20806894535557244)"
"('good', 0.05118204185545034)","('poor', 0.11656463755203185)","('apart', 0.12671158163234963)","('handle', 0.14359814599071216)","('tip', 0.1336150080812566)","('but', 0.26366694928034634)","('defective', 0.14125015140018554)","('cutting', 0.17270597318933698)","('rusted', 0.19415155021652294)","('kid', 0.1820603271861259)","('reviews', 0.2427471029148345)","('cheap', 0.16864882751761473)","('wont', 0.20806894535557244)"
"('cutting', 0.05068938416458528)","('price', 0.09984875656675579)","('months', 0.12671158163234963)","('cheap', 0.11052691520928423)","('micro', 0.1336150080812566)","('good', 0.17755515610945316)","('stars', 0.14125015140018554)","('first', 0.160537296877857)","('resistant', 0.19415155021652294)","('jobs', 0.1820603271861259)","('misleading', 0.2427471029148345)","('savings', 0.1506706156023111)","('sturdiness', 0.20806894535557244)"
"('paper', 0.047108322781792514)","('terrible', 0.09287281637561977)","('broken', 0.10312197915083474)","('cracked', 0.09523398967330501)","('stay', 0.09969944470578207)","('eh', 0.17477791409868088)","('one', 0.107003190318643)","('broken', 0.12963905950390653)","('titanium', 0.12499503971440376)","('inches', 0.1820603271861259)","('hype', 0.2427471029148345)","('relatively', 0.1506706156023111)","('razonable', 0.20806894535557244)"
"('great', 0.04590061112078103)","('waste', 0.08724156461538045)","('fell', 0.08513341501098479)","('easily', 0.08379246269502533)","('super', 0.08907667205417107)","('goodalmost', 0.17477791409868088)","('package', 0.10539655583182675)","('butter', 0.12484136721334346)","('que', 0.11498546980176372)","('inch', 0.1820603271861259)","('unsatisfied', 0.2427471029148345)","('quickly', 0.1506706156023111)","('craftsmanship', 0.20806894535557244)"
"('scissor', 0.03109280062268235)","('bad', 0.0749978030187889)","('break', 0.07997143423076541)","('broke', 0.08056664736502)","('extremely', 0.08907667205417107)","('best', 0.17477791409868088)","('got', 0.09416676760012369)","('careful', 0.12484136721334346)","('pretty', 0.11498546980176372)","('actually', 0.1820603271861259)","('deceiving', 0.2427471029148345)","('dulluseless', 0.1506706156023111)","('using', 0.1756609263863779)"
"('broke', 0.025624971399116875)","('money', 0.06965461228171482)","('snapped', 0.07490538331828021)","('hand', 0.06252338057820231)","('sturdy', 0.07592980257736481)","('it', 0.17477791409868088)","('bought', 0.09416676760012369)","('thru', 0.12484136721334346)","('se', 0.11498546980176372)","('fingers', 0.15370331058808068)","('bummed', 0.2427471029148345)","('never', 0.1506706156023111)","('flimsy', 0.1756609263863779)"
"('13901', 0.023200499711408404)","('average', 0.060973214117585724)","('half', 0.0686460201396446)","('pairs', 0.05119364213804004)","('alignment', 0.0590465926009057)","('loved', 0.17477791409868088)","('pairs', 0.08629785388983893)","('quite', 0.12484136721334346)","('tijeras', 0.11498546980176372)","('openings', 0.15370331058808068)","('little', 0.20493774745077423)","('gets', 0.1506706156023111)","('brittle', 0.1756609263863779)"
"('wrapping', 0.023200499711408404)","('performance', 0.060973214117585724)","('year', 0.0686460201396446)","('stiff', 0.05119364213804004)","('was', 0.0590465926009057)","('nice', 0.17477791409868088)","('manipulated', 0.06242068360667173)","('cuts', 0.12484136721334346)","('rusty', 0.11498546980176372)","('little', 0.15370331058808068)","('crap', 0.20493774745077423)","('became', 0.1506706156023111)","('heavy', 0.15694461266687282)"
